标题,作者,内容,朝代,体裁
詠露,董思恭,夜色凝仙掌，晨甘下帝庭。不覺九秋至，遠向三危零。蘆渚花初白，葵園葉尚青。晞陽一灑惠，方願益滄溟。,唐,律诗
倣玉臺體,羅隱,青樓枕路隅，壁甃復椒塗。晚夢通簾柙，春寒逼酒罏。解吟憐芍藥，難見恨菖蒲。試問年多少，鄰姬亦姓胡。,唐,律诗
讀李邕碑,張栻,荒榛日莫倚筇時，歎息危亭北海碑。後輩但知尊字畫，當年不得戍邊垂。豈關貝錦能成禍，祇恐干將不自奇。杜老惜才千古意，如今誰詠六公辭。,唐,律诗
无题,易祓,自古清胜地，江带与山篸。夸娥擘此石鐪，不独岭之南。初见仙岩第一，再见砻岩第二，今见淡岩三。邱壑皆有分，品第不须谈。望前驱，陪后乘，破晴岚。出城一舍而近，峭壁与天参。不使尘埃涴脚，忽觉烟云对面，鹤驭可同骖。杖屦从归去，此乐湘潭。,宋,词
萬州,范成大,晨炊維下巖，晚酌檥南浦。波心照州榜，雲脚響衙鼓。前山如屏牆，得得正當戶。西江朝宗來，循屏復東去。官曹倚巖棲，市井喚船渡。瓦屋仄石磴，猿啼閙人語。剔核杏餘酸，連枝茶剩苦。窮鄉固瘠薄，陋俗亦寒窶。營營謀食艱，寂寂懷磚訴。昔聞吏隠名，今識吏隠處。,唐,诗
无题,晏几道,非花非雾前时见，满眼娇春。浅笑微颦。恨隔垂帘看未真。殷勤借问家何处，不在红尘。若是朝云。宜作今宵梦里人。,宋,词
无题,李石,绿杨庭院觉深沈。曾听一莺吟。今夜却成容易，双莲步步摇金。歌声暂驻，颦眉又去，无计重寻。应恨玉郎殢酒，教人守到更深。,宋,词
无题,柳永,薄衾小枕天气。乍觉别离滋味。展转数寒更，起了还重睡。毕竟不成眠，一夜长如岁。也拟待、却回征辔。又争奈、已成行计。万种思量，多方开解，只恁寂寞厌厌地。系我一生心，负你千行泪。,宋,词
无题,马子严,东君直是多情，好花一夜都开尽。杏梢零落，药栏迟暮，不教宁静。风度秋千，日移帘幕，翠红交映。正太真浴罢，西施浓抹，都沉醉、娇相称。磨遍绿窗铜镜。挽春衫、不堪比并。暮云空谷，佳人何处，碧苔侵迳。睡里相看，酒边凝想，许多风韵。问因何，却欠一些香味，惹旁人恨。,宋,词
冬夜即事,黄庚,獨寢書窗下，其如寒夜何。頭邊枕黄嬭，脚底踏湯婆。紙帳梅花暖，布衾春意多。道人無妄想，夢不到南柯。,唐,律诗
无题,曹勋,雪后篱边冷未晴。江天浓淡暗还明。断续流香传玉蓓。心醉。临风嗅蕊不胜清。映竹幽姿深有思。何似。照溪真色更多情。待得微酸藏傅粉。黄嫩。湿云潜放雨轻轻。,宋,词
新釀酴醾酒送吳蔡二副樞,文彥博,此花猶未發，此酒已先香。獨有甘芹意，開罇略爲嘗。,唐,绝句
无题,张耒,菖蒲酒满劝人人，愿年年欢醉。偎倚。把合欢彩索，殷勤寄与。,宋,词
无题,晏几道,雪尽寒轻，月斜烟重。清欢犹记前时共。迎风朱户背灯开，拂檐花影侵帘动。绣枕双鸳，香苞翠凤。从来往事都如梦。伤心最是醉归时，眼前少个人人送。,宋,词
无题,张抡,□□□□□□□。□□□□，□□□□□。□影□□□□□。□□□□□□□。□□□□长不老。天□□□，□□□□□。□□□□□物表。广寒宫殿□□□。,宋,词
无题,何,便饶你、漫天索价，待我略地酬伊。,宋,词
无题,吕渭老,裙长步渐迟，扇薄羞难掩。鞋褪倚郎肩，问路眉先敛。踏青南陌回，倚醉开娇靥。今夜更同行，忍笑匀妆脸。,宋,词
无题,赵彦端,花县双凫缥缈仙。家庭椿树正苍然。斑衣举酒大人前。袅袅凉风供扇枕，悠悠飞露湿丛萱。醉扶黄发弄曾玄。,宋,词
道逢南嶽太上人游京師戲贈其行,釋德洪,野外相逢一笑新，十年峰頂卧雲人。却將南楚登山脚，去踏東華沒馬塵。,唐,绝句
金剛隨機無盡頌 無得無說分第七 其八,釋印肅,隨處納些些，騎牛已到家。堂前無影木，雪夜忽開花。,唐,绝句
无题,赵以夫,绣地残英，画空飞絮，东风又送春归。雨足郊坰，相将翠密成帷。燕莺犹恋芳菲。向枝头、叶底依依。留春不住，绿波渺渺，碧草萋萋。锦帆开晓，彩仗迎熏，峰回路转，月淡天低。红云影里，群仙报道班齐。九奏箫韶，算人间、无此埙箎。步新堤。金鼎调羹也，梅子黄时。,宋,词
榴皮題壁,葉三英,求仙那得仙來訪，多積陰功至有餘。欲悟東林沈東老，故留三十六玄書。,唐,绝句
喬木,張耒,舍北參天喬木長，依憑清蔭護高堂。鳥啼杳杳重陰合，風到翩翩翠葉凉。已許孤高凌夏日，不妨堅老要秋霜。投身麋鹿無人地，非爾煩憂未易忘。,唐,律诗
无题,程垓,春回绿野烟光薄。低花矮柳田家乐。陇麦又青青。喧蜂闲趁人。野翁忘近远。怪识刘郎面。断却小桥溪。怕人溪外知。,宋,词
後秋風,薛師董,去年病後詠秋風，今日秋風病裏逢。好句不曾書落葉，孤燈長自守鳴蛩。故人音問天來遠，茅舍光陰睡正濃。江上白鷗忙勝我，銜魚引子與潮衝。,唐,律诗
无题,吴文英,湖上芙蓉早。向北山、山深雾冷，更看花好。流水茫茫城下梦，空指游仙路杳。笑萝障、云屏亲到。雪玉肌肤春温夜，饮湖光、山渌成花貌。临涧水，弄清照。著愁不尽宫眉小。听一声、相思曲里，赋情多少。红日阑干鸳鸯枕，那枉裙腰褪了。算谁识、垂杨秋袅。不是秦楼无缘分，点吴霜、羞带簪花帽。但殢酒，任天晓。,宋,词
三衢邂逅周月船論心數日臨分賦此二首  其一,嚴羽,同是江湖客，居然歲月多。心期看白髮，歸夢付滄波。子去見家遠，吾衰奈別何。幾時船上月，載酒定相過。,唐,律诗
无题,张鎡,连汀接渚，萦蒲带藻，万镜香浮光满。湿烟吹霁木栏轻，照波底、红娇翠腕。玉纤采处，银笼携去，一曲山长水远。采鸳双惯贴人飞，恨南浦、离多梦短。,宋,词
和遠老四首  其二,吳芾,身居仕路夢家山，一日君恩放我還。從此便爲終老計，祇愁造物靳清閒。,唐,绝句
鄰園花成欲具旬會病未果二首  其一,王洋,嬌春意謂已堅牢，次第千林散錦袍。恐有天魔妬妍好，遽連風雨作粗豪。,唐,绝句
宿芙蓉峰書方丈壁三首  其二,釋德洪,赤髭病客煙瘴面，漆瞳道人冰雪容。俯檻夜殘看落月，不知脚下有千峰。,唐,绝句
和白雲庵七首 醒石,黄庶,老僧拂拭待遊者，雲骨一片莓苔青。塵埃萬事心若醉，到此不覺令人醒。,唐,绝句
无题,王千秋,开花借水，信天姿高胜，都无俗格。玉陇娟娟黄点小，依约西湖清魄。绿带垂腰，碧簪篸髻，索句撩元白。西清微笑，为渠模写香色。常记月底风前，水沈肌骨，瘦不禁怜惜。生怕因循纷委地，仙去难寻踪迹。缥槛深栽，彤帏密护，不肯轻抛释。等差休问，未容梅品悬隔。,宋,词
登郡樓書懷 三,劉兼,莫嗔阮氏哭途窮，萬代深沈恨亦同。瑞玉豈知將抵鵲，鉛刀何事却屠龍。九夷欲適嗟吾道，五柳終歸效古風。獨倚郡樓無限意，滿江煙雨正冥濛。,唐,律诗
无题,张元干,萧萧疏雨滴梧桐。人在绮窗中。离愁遍绕，天涯不尽，却在眉峰。娇波暗落相思泪，流破脸边红。可怜瘦似，一枝春柳，不奈东风。,宋,词
无题,辛弃疾,出处从来自不齐。后车方载太公归。谁知孤竹夷齐子，正向空山赋采薇。黄菊嫩，晚香枝。一般同是采花时。蜂儿辛苦多官府，蝴蝶花间自在飞。,宋,词
呈明叔七首  其五,趙蕃,手種竹邊梅一株，地幽終覺病而癯。不然我爾要相似，異日重看瘠解腴。,唐,绝句
无题,周邦彦,薄薄纱橱望似空。簟纹如水浸芙蓉。起来娇眼未惺惚。强整罗衣抬皓腕，更将纨扇掩酥胸。羞郎何事面微红。,宋,词
无题,张炎,江山居未定，貂裘已敝，空自带愁归。乱花流水外，访里寻邻，都是可怜时。桥边燕子，似软语、斜日江篱。休问我、如今心事，错认镜中谁。还思。新烟惊换，旧雨难招，做不成春意。浑未省、谁家芳草，犹梦吟诗。一株古柳观鱼港，傍清深、足可幽栖。闲趣好，白鸥尚识天随。,宋,词
无题,苏轼,昵昵儿女语，灯火夜微明。恩冤尔汝来去，弹指泪和声。忽变轩昂勇士，一鼓填然作气，千里不留行。回首暮云远，飞絮搅青冥。众禽里，真彩凤，独不鸣。跻攀寸步千险，一落百寻轻。烦子指间风雨，置我肠中冰炭，起坐不能平。推手从归去，无泪与君倾。,宋,词
无题,辛弃疾,梅梅柳柳斗纤秾。乱山中。为谁容。试著春衫，依旧怯东风。何处踏青人未去，呼女伴，认骄骢。儿家门户几重重。记相逢。画桥东。明日重来，风雨暗残红。可惜行云春不管，裙带褪，鬓云松。,宋,词
无题,李清照,寻寻觅觅，冷冷清清，凄凄惨惨戚戚。乍暖还寒时候，最难将息。三杯两盏淡酒，怎敌他、晚来风急。雁过也，正伤心，却是旧时相识。满地黄花堆积。憔悴损，如今有谁忺摘。守著窗儿，独自怎生得黑。梧桐更兼细雨，到黄昏、点点滴滴。这次第，怎一个、愁字了得。,宋,词
次韻斯遠見夢有作六言二首  其二,趙蕃,幾欲罷官歸去，未應形役能拘。矗矗奇峰晚對，豈如雲谷同趨。,唐,其他
酴醾  其二,滕岑,向人未肯吐芳心，玉困香融己不禁。久矣禪心無色想，如何對此獨沉吟。,唐,绝句
與從弟瑾同下第後出關言別 三,盧綸,出關愁暮一沾裳，滿野蓬生古戰場。孤村樹色昏殘雨，遠寺鐘聲帶夕陽。,唐,绝句
次韻劉寬夫春日有作,李彌遜,時序驚人翻手雲，一樽聊共駐青春。惜花欄檻圍繒綺，留客杯盤煮荇蘋。愁外覓歡終淡薄，吟邉得酒更清新。休論二十年前事，目斷長安陌上塵。,唐,律诗
无题,卢祖皋,挽住风前柳。问鸱夷、当日扁舟，近曾来否。月落潮生无限事，零乱茶烟未久。漫留得、莼鲈依旧。可是从来功名误，抚荒祠、谁继风流后。今古恨，一搔首。江涵雁影梅花瘦。四无尘、雪飞风起，夜窗如昼。万里乾坤清绝处，付与渔翁钓叟。又恰是、题诗时候。猛拍阑干呼鸥鹭，道他年、我亦垂纶手。飞过我，共尊酒。,宋,词
寄國史校勘陳體仁,李龏,天祿對藜燈，丹鉛照眼明。雖稱小朝士，不是老書生。職重三場筆，官聯六館名。懷君既良晤，歲久又崢嶸。,唐,律诗
登秀山至半而還有懷賓暘,方回,擁書終日汗如漿，試上崔嵬覓晚凉。忽喜孤煙支拄杖，偶逢平石寘繩床。十年世事頭鬚白，六月江城草樹蒼。莫盡山顛且山半，待携詩友共清觴。,唐,律诗
汴上有懷李易初,賀鑄,何處經行特惘然，津頭曾送木蘭船。桃花春水生前夜，楊柳秋風憶故年。驛路尺書疑斷絕，官倉斗米愧留連。飄颻復作江湖計，從此長安是日邊。,唐,律诗
贈高山人德充,曾丰,渾沌包元氣，支離入九流。陰陽從此有，源委問誰求。眼法窮山脈，囊經掛杖頭。卜吾新築處，相伴得沙鷗。,唐,律诗
泛淮,陳師道,冬暖仍初日，潮回更下風。鳥飛雲水裏，人語櫓聲中。平野容回顧，無山會有終。倚檣聊自逸，吟嘯不須工。,唐,律诗
无题,赵必□,月浸芙蕖，冰壶天地波凝碧。太平歌舞醉东风，花市人如织。桃李一城春色。玉梅娇、闹娥无力。粉围红阵，灯火楼台，绮罗巷陌。乐事还同，遨头引领神仙客。高烧银烛照红妆，香雾穿瑶席。款款檀牙细拍。醉金尊、东方未白。传柑相遗，探茧争先，明年何夕。,宋,词
无题,沈瀛,门外可罗雀，长者肯来寻。留君且住，听我一曲楚狂吟。枉了闲烦闲恼，莫管闲非闲是，说甚古和今。但看镜中影，双鬓已星星。人生世，多聚散，似浮萍。适然相会，须索有酒且同倾。说到人情真处，引入无何境界，惟酒是知音。况有好风月，相对且频斟。,宋,词
无题,刘克庄,日月跳丸，光阴脱兔。登临不用深怀古。向来吹帽插花人，尽随残照西风去。老矣征衫，飘然客路。炊烟三两人家住。欲携斗酒答秋光，山深无觅黄花处。,宋,词
无题,辛弃疾,金谷无烟宫树绿，嫩寒生怕春风。博山微透暖薰笼。小楼春色里，幽梦雨声中。别浦鲤鱼何日到，锦书封恨重重。海棠花下去年逢。也应随分瘦，忍泪觅残红。,宋,词
无题,邵伯雍,玉壶满插梅梢瘦。帘幕轻寒透。从今春恨满天涯。月下几枝疏影、透窗纱。锦城咫尺如千里。乍别难成寐。孤眠半晌断人肠。夜静分明全似、那人香。,宋,词
晚步追凉二首  其二,楊萬里,風不須多只是涼，穿花度柳到人傍。細吹病耳颼颼響，徐弄輕衫拂拂長。,唐,绝句
无题,柳永,花心柳眼。郎似游丝常惹绊。慵困谁怜。绣线金针不喜穿。深房密宴。争向好天多聚散。绿锁窗前。几日春愁废管弦。,宋,词
无题,吴文英,粉靥金裳。映绣屏认得，旧日萧娘。翠微高处，故人帽底，一年最好，偏是重阳。避春祗怕春不远，望幽径、偷理秋妆。殢醉乡。寸心似翦，飘荡愁觞。潮腮笑入清霜。斗万花样巧，深染蜂黄。露痕千点，自怜旧色，寒泉半掬，百感幽香。雁声不到东篱畔，满城但、风雨凄凉。最断肠。夜深怨蝶飞狂。,宋,词
无题,葛胜仲,岩壑萦回云水窟。林深路断迷烟客。茅屋数椽携杖舄。人寂寂。侵檐万个琅玕碧。倦客羁怀清似涤。更无一点飞埃迹。溪涨慢流过几席。寒湜湜。凫鷖点破琉璃色。,宋,词
无题,王沂孙,疏帘蝶粉，幽径燕泥，花间小雨初足。又是禁城寒食，轻舟泛晴渌。寻芳地，来去熟。尚彷佛、大堤南北。望杨柳、一片阴阴，摇曳新绿。重访艳歌人，听取春声，犹是杜郎曲。荡漾去年春色，深深杏花屋。东风曾共宿。记小刻、近窗新竹。旧游远，沈醉归来，满院银烛。,宋,词
无题,魏了翁,千里楼高人与并，个中彻地通天。秋风吹发半成宣。都将强岁月，空对旧山川。养就人才端有意，公今三祖差肩。偏轻偏重几番船。要公常把柂，容我老闲边。,宋,词
秋夕書懷 二,劉兼,直氣從來不入時，掩關慵更釣磻溪。斯文未喪宣尼歎，吾道將窮阮籍悲。輕粉覆霜凝夜砌，亂金鋪菊織秋籬。南陽臥久無人問，薄命非才有可疑。,唐,律诗
豫章彭真人觀  其二,彭汝礪,重雲隠隠即吾家，竹影松陰一徑賒。坐久肺腸清似覺，遠心飛去出雲霞。,唐,绝句
无题,史浩,莫惜清尊长在手。圣朝化洽民康阜。说与渔家知得否。齐稽首。太平天子无疆寿。,宋,词
无题,无名氏,翦碎红娘舞旧衣。汉宫妆粉满琼枝。东风来晚未曾知。颜色不同香小异，瑶台春近宴回时。宝灯相引素娥归。,宋,词
无题,无名氏,雨雾云收望远山。钓竿林下恣清闲。蝉噪日斜林影转。溪岸。绿深红浅画屏间。对酒狂歌时鼓枻。更邀同志醉前湾。待月却寻维缆处，归来，烟萝一迳接柴关。,宋,词
次洪監簿惠詩韻五首  其一,姜特立,相逢可恨十年遲，鍼芥相投更不疑。從此詩筒數來往，不須千里寄相思。,唐,绝句
无题,汤思退,画船横绝湖波练。更上雕鞍穷翠巘。霜橘半垂黄。征衣尽日香。钟声云外听。金界青松映。何处是华山。峰峦杳霭间。,宋,词
无题,吕渭老,重帘挂。微灯下。背兰同说春风话。月盈楼。泪盈眸。觑著红裀，无计迟留。休休。莺花谢。春残也。等闲泣损香罗帕。见无由。恨难收。梦短屏深，清夜悠悠。悠悠。,宋,词
无题,陈著,浮萍踪迹。又作南东□□客。不奈秋阳。一似朱明赫赫光。惊雷叱雨。料是阿香怜逆旅。好个凉天。称我前程步步便。,宋,词
雜詠一百首 茅焦,劉克莊,焦子如天膽，秦王似屋嗔。如何刀机上，活得解衣人。,唐,绝句
上普安郡王生辰  其四,史浩,堂堂玉立冠宗藩，中有澄波撓不渾。彩筆英辭追電影，黄鐘和氣散春溫。不言自是行天運，獨智何妨入聖門。忠孝一心唯戴主，是爲天下德之尊。,唐,律诗
无题,朱淑真,冬晴无雪。是天心未肯，化工非拙。不放玉花飞堕地，留在广寒宫阙。云欲同时，霰将集处，红日三竿揭。六花翦就，不知何处施设。应念陇首寒梅，花开无伴，对景真愁绝。待出和羹金鼎手，为把玉盐飘撒。沟壑皆平，乾坤如画，更吐冰轮洁。梁园燕客，夜明不怕灯灭。,宋,词
次兒泌韻,陳著,門外風塵付一吁，何妨稼圃學樊須。由由本自人難浼，皎皎奚憂我易污。,唐,绝句
无题,张辑,竹间棋，池上字。风日共清美。谁道春深，湘绿涨沙觜。更添杨柳无情，恨烟颦雨，却不把、扁舟偷系。去千里。明日知几重山，后朝几重水。对酒相思、争似且留醉。奈何琴剑匆匆，而今心事，在月夜、杜鹃声里。,宋,词
无题,邓剡,笑平生、布帆无恙，堂堂稳送君去。江声悲壮崖殷血，曾是英雄行处。今亦古。甚一点东风，天不周郎与。城幡夜竖。几铜爵春残，战沙秋冷，华发遽如许。东坡老，千载风流两赋。馀音不绝如缕。临皋一笑三生梦，还认岷峨乡语。挥玉麈。尽不碍灯前，痛饮檐花雨。雪堂在否。管驾鹤归来，为君细赏，蝴蝶上阶句。,宋,词
无题,无名氏,满庭箫鼓簇飞球。丝竿红网总台头。,宋,词
无题,翁元龙,一年箫鼓又疏钟。爱东风。恨东风。吹落灯花，移在杏梢红。玉靥翠钿无半点，空湿透，绣罗弓。燕魂莺梦渐惺松。月帘栊。影迷濛。催趁年华，都在艳歌中。明日柳边春意思，便不与，夜来同。,宋,词
句  其一,宋京,雲生氈帽山頭雨，日落琵琶峽口風。,唐,诗
无题,晏殊,三月暖风，开却好花无限了，当年丛下落纷纷。最愁人。长安多少利名身。若有一杯香桂酒，莫辞花下醉芳茵。且留春。,宋,词
相州前池別許鄭二判官景先神力,張說,數步圓塘水，雙鴻戢羽儀。一飛喬木上，一返故林垂。澹泊含秋景，虛明抱夜規。無因留絕翰，雲海意差池。,唐,律诗
无题,吴文英,绛雪生凉，碧霞笼夜，小立中庭芜地。昨梦西湖，老扁舟身世。叹游荡，暂赏、吟花酌露尊俎，冷玉红香罍洗。眼眩魂迷，古陶洲十里。翠参差、澹月平芳砌。砖花滉、小浪鱼鳞起。雾盎浅障青罗，洗湘娥春腻。荡兰烟、麝馥浓侵醉。吹不散、绣屋重门闭。又怕便、绿减西风，泣秋檠烛外。,宋,词
晚泊二絕  其一,葛立方,晚泊牛羊已下來，清泉爲我洗塵埃。解顔客裏無巵酒，壁上尋詩笑幾回。,唐,绝句
无题,史浩,梁武憨痴达摩呆。个中消息岂容猜。九年面壁口慵开。双履却寻归路止，一花原不是君栽。这回枉了一遭来。,宋,词
无题,李曾伯,日近长安路。喜骖鸾、带簪游戏，弓旌招去。闻道汉朝帷帏里，要问娵隅蛮语。嗟时事、尚兹多故。办取忠谋宜入告，见石洪、曾在乌公府。须细访，风寒处。左荆右岭中湘浦。愿扶持、东南温厚，老天张主。翘馆钦贤人共说，一饭每勤三吐。公此去、好官须做。从臾泾舟同共济，更绸缪、桑土先阴雨。灭此虏，直朝暮。,宋,词
絕句,韓淲,一年春好處，東望是皇州。柳色梅花外，數聲羌笛浮。,唐,绝句
春晚閑居寄陳嵩伯,貫休,春霖閉門久，春色聚庭木。一夢辭舊山，四鄰有新哭。菰蒲生白水，風篁擢纖玉。爲憶湖上翁，花時獨冥目。,唐,律诗
次韵子由舍人先生追讀邇英絕句四首  其四,張耒,恭默誰聆金玉音，陶甄萬物付無心。君王好學真天意，憂國論思不厭深。,唐,绝句
无题,无名氏,一派先天妙学，十年克己工夫。割鸡聊此宰中都。人在春台鼓舞。昏垫非由已溺，拊摩不异予辜。万家香火祝悬弧。我亦无多颂语。,宋,词
无题,仇远,海棠才试春光小，西风便吹秋去。白石粼粼，丹林点点，装缀东皋南浦。清游顿阻。谩空有园林，可无钟鼓。一曲庭花，隔江谁与问商女。离怀浑似梦里，碧云犹冉冉，佳人何处。越岫难盟，秦楼燕约，争奈年华已暮。凭高吊古。算只有梅花，伴人凄楚。极目天长，淡霞明断雨。,宋,词
无题,周弼,朴朴精神的的香。荼縻一朵晓来妆。雏莺叶底学宫商。著意劝人须尽醉，扶头中酒又何妨。绿窗花影日偏长。,宋,词
偈一首,覺禪師,家住孤峰頂，長年半掩門。自嗟身已老，活計付兒孫。,唐,绝句
无题,王琪,江南岸，云树半晴阴。帆去帆来天亦老，潮生潮落日还沈。南北别离心。兴废事，千古一沾襟。山下孤烟渔市晓，柳边疏雨酒家深。行客莫登临。,宋,词
題西隠,趙彥端,西風數客一闌干，秋色翛然得細看。潦水倍知寒事早，夕陽更覺晚山寬。小留待月鐘無遽，半醉題詩燭未殘。憶得向來幽獨處，黄精未熟客衣單。,唐,律诗
无题,姜夔,与鸥为客。绿野留吟屐。雨行柳垂阴，是当日、仙翁手植。一亭寂寞。烟外带愁横，荷苒苒，展凉云，横卧虹千尺。才因老尽，秀句君休觅。万绿正迷人，更愁入、山阳夜笛。百年心事，惟有玉阑知，吟未了，放船回，月下空相忆。,宋,词
重陽,趙嘏,節逢重九海門外，家在五湖煙水東。還向秋山覓詩句，伴僧吟對菊花風。,唐,绝句
无题,晏几道,晚妆长趁景阳钟。双蛾著意浓。舞腰浮动绿云浓。樱桃半点红。怜美景，惜芳容。沈思暗记中。春寒帘幕几重重。杨花尽日风。,宋,词
无题,晁补之,相误。空凝伫。郑子江头逢二女。霞衣曳玉非尘土。笑解明珰轻付。月从云堕劳相慕。自有骖鸾仙侣。,宋,词
无题,无名氏,烟髻绾层巅，云叶生寒树。斜日行人窈窕村，愁阵纵横处。细细写蛮笺，道寄相思语。会倩春风展柳眉，回马章台路。,宋,词
學書十絕  其九,李之儀,歌詞漫與收狂念，詩句聊將代欠伸。鈎棘徒勞刳胃腎，筆頭纔住已成塵。,唐,绝句
高峰寺,許及之,四面峯巒玉斲成，團欒真是梵王城。名山勝絕茲爲冠，墨客冥搜遠作程。清酌獻茶修薄供，攝心歸敬誓餘生。全家飽煖君恩重，佛日光中祝聖明。,唐,律诗
无题,储泳,东风一夜吹寒食，枝头片红犹恋。宿酒初醒，新吟未稳，凭久栏杆留暖。将春买断。恨苔径榆阶，翠钱难贯。陌上秋千，相逢谁认旧时伴。轻衫粉痕褪了，丝缘馀梦在，良宵偏短。柳线经烟，莺梭织雾，一片旧愁新怨。慵拈象管。待寄与深情，难凭双燕。不似杨花，解随人去远。,宋,词
无题,华岳,罗雾薄、绀绿拥重重。八幅宝香薰锦绣，一床烟浪卷芙蓉。屏翠叠东风。云点缀，香汗透玲珑。螺髻松松沾玉润，樱唇浅浅印珠红。人在翠华中。,宋,词
蓼花,薛季宣,不矜秀色傲春風，笑倚斜陽露氣濃。秋草淒涼風索索，江天寂靜水溶溶。岸移晴綺飄仙袂，葉起丹霞照玉容。可奈少香香似可，爲傳滋味入醺醲。,唐,律诗
和郭昌朝寺丞見寄二首  其二,范純仁,言路再居無少補，護邊三歲乏微勛。非才自合投閑地，竭節終期報聖君。老去年光流似水，病來世味薄如雲。讀書記一將忘十，少壯誰教不自勤。,唐,律诗
无题,李处全,一天春意，趁东皇幽赏，重飞端叶。造物有心成伟观，来伴红蕖开彻。桂魄初圆，梅腮全放，节物俱奇绝。冷官门巷，望中北固楼堞。遐想蓬底高人，拥衾无寐，九曲长增结。我亦低窗翻蠹纸，失喜瑶花盈尺。拥鼻孤吟，搔头危坐，所欠惟佳客。须君来此，脸纹相对生缬。,宋,词
无题,杨无咎,嫩蕊商量。无穷幽思，如对新妆。粉面微红，檀唇羞启，忍笑含香。休将春色包藏。抵死地、教人断肠。莫待开残，却随明月，走上回廊。,宋,词
无题,李弥逊,上阳迟日千门锁。花外流莺过。一番春去又经秋。惟有深宫明月、照人愁。暗中白发随芳草。却恨容颜好。更无魂梦到昭阳。肠断一双飞燕、在雕粱。,宋,词
臘脯,梅堯臣,畋獵得封獸，割鮮爲腶脩。易甘非愛日，不敗任經秋。可用資賓豆，何妨鄙薦䐹。考之新月錄，美脆勝庖牛。,唐,词
无题,韩淲,一曲笙歌外，四座笑谈清。使君秋霁领客，别乘更宗英。想像亲闱称寿，写就通家情分，相与庆恩荣。劝动桂花发，香雾扑帘旌。功名事，台阁路，好同登。只今报政归诏，舆论正蜚声。以我文章学术，与国和平安靖，冠剑入明庭。应顾棠阴下，野老鬓星星。,宋,词
寄西弟六首  其六,劉黻,一別獅山千載期，蕭條吟屋費修治。手栽門戶新楊柳，試問春風長幾枝。,唐,绝句
賦得夏首啓節,太宗皇帝,北闕三春晚，南榮九夏初。黃鶯弄漸變，翠林花落餘。瀑流還響谷，猿啼自應虛。早荷向心卷，長楊就影舒。此時歡不極，調軫坐相於。,唐,诗
无题,无名氏,你为情多泪亦多。,宋,词
憫雨,唐庚,老楚能令畏壘豐，此身翻累越人窮。至今無奈曾孫稼，幾度虛占少女風。兹事會須星有好，他時曾厭雨其濛。山中賴有茱糧足，不向諸侯托寓公。,唐,律诗
艮嶽百詠 山莊,李質,重崖置屋亦常關，下法龍眠小隱山。縱有青牛不耕稼，但聞犬吠白雲間。,唐,绝句
陪始平公燕柳谿,司馬光,谿光不動柳風輕，玉帳森沈擁萬兵。鷗入煙中閑自舞，魚翻波面喜相迎。樓船下視晴天碧，鼓吹前驅遠陌清。桃李歸時應盛發，薫然和氣滿春城。,唐,律诗
淳祐七年丁未十一月朔蔡久軒自江東提刑歸抵家時三館諸公以風霜隨氣節河漢下文章分韻賦詩送別得隨字,王撝,嵯峨武夷山，中有梁棟姿。鳳凰鳴高崗，隠見視其時。孰若阿房宮，下容五丈旗。孰奏簫韶樂，和聲召來儀。才大古難用，論高人先知。晦翁千載人，源流有餘師。衣傳正大學，時吐蹇諤辭。國步方險艱，憂端終南齊。袖有濟時策，真言琅玕披。忠嘉許稷契，不事激與隨。辯論黼座側，聽納天顔怡。林林陛楯郎，相顧胥嘆咨。中有張萬福，拜賀太平基。正頼中流柱，障瀾使東之。胡爲勇於去，神龍不容覊。平生廉靖操，爲國張四維。西風送漢節，凜凜生霜威。皇華馳周隰，晝錦輝繡衣。清臺占二星，今夕躔已移。江右九州地，俗弊民已疲。高褰赤帷裳，下照及隠微。刑清民乃服，莠除苗始滋。烹鮮戒政擾，漏魚寧網稀。要令珥筆俗，洗心學書詩。更令佩犢子，竭力事耘耔。鄱江歇瀾波，貫索韜光輝。丕變東楚俗，若咏洙泗涯。小試大儒效，泰山一毫釐。寧如立本朝，措世復雍熙。無容孔席暖，佇興宣室思。歸來納絳節，平步登黄扉。富貴推不去，乘留復奚疑。,唐,诗
无题,赵闻礼,莺啼晴昼，南国春如绣。飞絮眼，凭阑袖。日长花片落，睡起眉山斗。无个事，沉烟一缕腾金兽。千里空回首。两地厌厌瘦。春去也，归来否。五更楼外月，双燕门前柳。人不见，秋千院落清明后。,宋,词
子瞻繼和復答二首  其一,黄庭堅,置酒未容虛左，論詩時要指南。迎笑天香滿袖，喜公新赴朝參。,唐,其他
杜宇行,趙友直,君不見四更五更月，杜宇口流望帝血。何爲生子寄別巢，毛羽摧殘悲哽咽。將亡皎皎賈廉名，而今怨望未休歇。天運自古有廢興，金甌屹然亦傷缺。堯舜受禪夏商衰，夷齊孤竹如敝鞋。且須有酒拚顔赤，莫向東風空戚戚。,唐,词
再和元禮春懷十首  其五,黄庭堅,抹裙彩鳳盤宮錦，插鬢真珠絡貝多。酒惡花愁夢多魘，靈砂犀角費頻魔。,唐,绝句
入宿太倉次黄汝濟韻,周密,紙帳梅花夢，空齋夜氣侵。壯懷中歲感，遊子五更心。月轉花陰直，春隨柳色深。無人知此意，欹枕自微吟。,唐,律诗
